fecha,auto,pie,susana
1/13/2020,100,100,0
1/14/2020,101.59,106.53,0
1/15/2020,105.85,108.05,0
1/16/2020,109.87,113.21,0
1/17/2020,130.8,125.74,0
1/18/2020,118.81,127.41,0
1/19/2020,74.39,84.53,0
1/20/2020,103.35,108.4,0
1/21/2020,105,107,0
1/22/2020,102.21,104.42,0
1/23/2020,103.84,103.95,0
1/24/2020,123.76,124.68,0
1/25/2020,120.1,127.58,0
1/26/2020,73.77,80.79,0
1/27/2020,95.56,103.05,0
1/28/2020,96.56,93.1,0
1/29/2020,97.91,97.3,0
1/30/2020,104.09,101.2,0
1/31/2020,125.77,128.08,0
2/1/2020,112.27,117.79,0
2/2/2020,72.92,77.13,0
2/3/2020,66.52,58.9,0
2/4/2020,108.73,102.8,0
2/5/2020,104.71,95.94,0
2/6/2020,111.84,109.12,0
2/7/2020,130.26,126.13,0
2/8/2020,117.35,122.45,0
2/9/2020,74.85,76.35,0
2/10/2020,116.44,100.03,0
2/11/2020,117.98,105.7,0
2/12/2020,120.36,106.19,0
2/13/2020,129.08,117.96,0
2/14/2020,168.63,166.18,0
2/15/2020,145.43,160.36,0
2/16/2020,89.58,104.98,0
2/17/2020,107.12,105.26,0
2/18/2020,112.87,106.12,0
2/19/2020,114.68,109.26,0
2/20/2020,121,116.65,0
2/21/2020,139.85,133.23,0
2/22/2020,122.91,126.61,0
2/23/2020,77.2,77.45,0
2/24/2020,104.76,94.16,0
2/25/2020,102.43,96.83,0
2/26/2020,112.84,103.85,0
2/27/2020,111.06,110.68,0
2/28/2020,136.73,132.3,0
2/29/2020,129.19,132.86,0
3/1/2020,76.79,76.99,0
3/2/2020,100.99,91.5,0
3/3/2020,103.63,98.74,0
3/4/2020,110.04,106.63,0
3/5/2020,110.18,108.64,0
3/6/2020,132.1,128.07,0
3/7/2020,127.14,137.22,0
3/8/2020,75.71,88.95,0
3/9/2020,72.9,77.58,0
3/10/2020,103.94,94.87,0
3/11/2020,107.02,104.87,0
3/12/2020,114.34,107.22,0
3/13/2020,128.21,127.96,0
3/14/2020,114.75,118.32,0
3/15/2020,66.27,75.31,1
3/16/2020,57.04,63.48,1
3/17/2020,73.91,81.6,1
3/18/2020,64.76,69.37,1
3/19/2020,55.98,60.41,1
3/20/2020,56.71,57.85,1
3/21/2020,41.31,42.84,1
3/22/2020,25.41,27.1,1
3/23/2020,32.52,35.74,1
3/24/2020,30.67,29.63,1
3/25/2020,32.61,33.82,1
3/26/2020,37.22,36.73,1
3/27/2020,42.59,40.34,1
3/28/2020,39.46,39.6,1
3/29/2020,25.68,25.67,1
3/30/2020,38.63,40.21,1
3/31/2020,40.41,38.44,1
4/1/2020,40.32,40.26,1
4/2/2020,39.63,36.79,1
4/3/2020,43.86,40.04,1
4/4/2020,39.6,38.84,1
4/5/2020,26.57,26.87,1
4/6/2020,38.17,37.06,1
4/7/2020,38.95,38.35,1
4/8/2020,41.86,39.69,1
4/9/2020,33.93,31.69,1
4/10/2020,27.85,26.77,1
4/11/2020,30.29,30.07,1
4/12/2020,24.4,23.85,1
4/13/2020,39.3,38.34,1
4/14/2020,39.07,39.84,1
4/15/2020,40.45,40.24,1
4/16/2020,41.76,39.37,1
4/17/2020,46.8,43.38,1
4/18/2020,45.04,40.66,1
